ncsim: 10.20-s100: (c) Copyright 1995-2011 Cadence Design Systems, Inc.

-------------------------------------
Relinquished control to SimVision...
ncsim> 
ncsim> database -open waves -into waves.shm -default
Created default SHM database waves
ncsim> probe -create -shm rca_tb.a rca_tb.b rca_tb.cin rca_tb.cout rca_tb.i rca_tb.j rca_tb.k rca_tb.sum
Created probe 1
ncsim> run
Time=0, a=0, b=0, cin=0, cout=0, sum=0
Time=5, a=0, b=0, cin=1, cout=0, sum=1
Time=10, a=0, b=1, cin=0, cout=0, sum=1
Time=15, a=0, b=1, cin=1, cout=0, sum=2
Time=20, a=0, b=2, cin=0, cout=0, sum=2
Time=25, a=0, b=2, cin=1, cout=0, sum=3
Time=30, a=0, b=3, cin=0, cout=0, sum=3
Time=35, a=0, b=3, cin=1, cout=0, sum=4
Time=40, a=0, b=4, cin=0, cout=0, sum=4
Time=45, a=0, b=4, cin=1, cout=0, sum=5
Time=50, a=0, b=5, cin=0, cout=0, sum=5
Time=55, a=0, b=5, cin=1, cout=0, sum=6
Time=60, a=0, b=6, cin=0, cout=0, sum=6
Time=65, a=0, b=6, cin=1, cout=0, sum=7
Time=70, a=0, b=7, cin=0, cout=0, sum=7
Time=75, a=0, b=7, cin=1, cout=0, sum=8
Time=80, a=0, b=8, cin=0, cout=0, sum=8
Time=85, a=0, b=8, cin=1, cout=0, sum=9
Time=90, a=0, b=9, cin=0, cout=0, sum=9
Time=95, a=0, b=9, cin=1, cout=0, sum=10
Time=100, a=0, b=10, cin=0, cout=0, sum=10
Time=105, a=0, b=10, cin=1, cout=0, sum=11
Time=110, a=0, b=11, cin=0, cout=0, sum=11
Time=115, a=0, b=11, cin=1, cout=0, sum=12
Time=120, a=0, b=12, cin=0, cout=0, sum=12
Time=125, a=0, b=12, cin=1, cout=0, sum=13
Time=130, a=0, b=13, cin=0, cout=0, sum=13
Time=135, a=0, b=13, cin=1, cout=0, sum=14
Time=140, a=0, b=14, cin=0, cout=0, sum=14
